timestamp,test-class,test-method,time,description,result
2021-06-08 23:30:32.224,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3585,"[1] recordIndex=6, author=ATH-01, text=Text 1, info=http://www.example.com, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1.00, flag=true",Record index 6 is out of range
2021-06-08 23:30:36.321,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3645,"[2] recordIndex=7, author=ATH-02, text=Text 2, info=http://www.example.com, xxxCreationDate=aab-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 150.00, flag=true",Record index 7 is out of range
2021-06-08 23:30:39.878,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3267,"[3] recordIndex=8, author=ATH-03, text=Text 3, info=http://www.example.com, xxxCreationDate=aaC-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=BTC 13.00, flag=false",Record index 8 is out of range
2021-06-08 23:30:43.708,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3560,"[4] recordIndex=9, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com, xxxCreationDate=aVa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 13.00, flag=true",Record index 9 is out of range
2021-06-08 23:30:47.531,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3539,"[5] recordIndex=10, author=ATH-05, text=Text 5, info=null, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1000.00, flag=true",Record index 10 is out of range
2021-06-08 23:30:49.677,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1844,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-06-08 23:30:51.969,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1891,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-06-08 23:30:54.157,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1895,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-06-08 23:30:56.277,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1826,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-06-08 23:30:58.73,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2167,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-06-08 23:31:01.063,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1953,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-06-08 23:31:03.167,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1837,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
