timestamp,simple-path,time
2021-06-08 10:18:44.325,/master/welcome,392
2021-06-08 10:18:44.64,/master/welcome,270
2021-06-08 10:18:45.384,/master/sign-in,611
2021-06-08 10:18:46.65,/master/welcome,593
2021-06-08 10:18:48.307,/master/welcome,252
2021-06-08 10:18:49.006,/master/welcome,592
2021-06-08 10:18:49.352,/master/welcome,208
2021-06-08 10:18:49.632,/master/welcome,225
2021-06-08 10:18:50.37,/master/sign-in,594
2021-06-08 10:18:51.714,/master/welcome,608
2021-06-08 10:18:52.557,/manager/task/list,598
2021-06-08 10:18:53.384,/manager/task/show,593
2021-06-08 10:18:54.527,/manager/task/list,661
2021-06-08 10:18:55.383,/manager/task/show,622
2021-06-08 10:18:55.697,/master/welcome,221
2021-06-08 10:18:56.402,/master/welcome,597
2021-06-08 10:18:56.712,/master/welcome,217
2021-06-08 10:18:56.948,/master/welcome,207
2021-06-08 10:18:57.649,/master/sign-in,591
2021-06-08 10:18:58.931,/master/welcome,599
2021-06-08 10:18:59.737,/manager/task/list,583
2021-06-08 10:19:00.611,/manager/task/show,597
2021-06-08 10:19:01.691,/manager/task/list,597
2021-06-08 10:19:02.518,/manager/task/show,596
2021-06-08 10:19:02.83,/master/welcome,221
2021-06-08 10:19:03.527,/master/welcome,588
2021-06-08 10:19:03.874,/master/welcome,252
2021-06-08 10:19:04.11,/master/welcome,206
2021-06-08 10:19:04.811,/master/sign-in,598
2021-06-08 10:19:06.095,/master/welcome,596
2021-06-08 10:19:06.913,/manager/task/list,598
2021-06-08 10:19:07.749,/manager/task/show,598
2021-06-08 10:19:08.911,/manager/task/list,680
2021-06-08 10:19:09.735,/manager/task/show,593
2021-06-08 10:19:10.096,/master/welcome,253
2021-06-08 10:19:10.815,/master/welcome,596
