timestamp,test-class,test-method,time,description,result
2021-06-09 09:36:51.319,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4246,"[1] recordIndex=6, author=ATH-01, text=Text 1, info=http://www.example.com, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1.00, flag=true",Record index 6 is out of range
2021-06-09 09:36:55.15,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3554,"[2] recordIndex=7, author=ATH-02, text=Text 2, info=http://www.example.com, xxxCreationDate=aab-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 150.00, flag=true",Record index 7 is out of range
2021-06-09 09:36:58.764,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3311,"[3] recordIndex=8, author=ATH-03, text=Text 3, info=http://www.example.com, xxxCreationDate=aaC-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=BTC 13.00, flag=false",Record index 8 is out of range
2021-06-09 09:37:02.597,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3550,"[4] recordIndex=9, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com, xxxCreationDate=aVa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 13.00, flag=true",Record index 9 is out of range
2021-06-09 09:37:06.35,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3466,"[5] recordIndex=10, author=ATH-05, text=Text 5, info=null, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1000.00, flag=true",Record index 10 is out of range
2021-06-09 09:37:08.419,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1800,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-06-09 09:37:10.54,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1839,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-06-09 09:37:12.717,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1901,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-06-09 09:37:15.007,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1958,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-06-09 09:37:17.372,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2083,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-06-09 09:37:19.617,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1960,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-06-09 09:37:21.757,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1855,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
