timestamp,test-class,test-method,time,description,result
2021-06-08 22:47:14.148,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3380,"[1] recordIndex=5, author=ATH-01, text=Text 1, info=http://www.example.com",Record index 5 is out of range
2021-06-08 22:47:17.295,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,2833,"[2] recordIndex=6, author=ATH-02, text=Text 2, info=http://www.example.com",Record index 6 is out of range
2021-06-08 22:47:20.371,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,2792,"[3] recordIndex=7, author=ATH-03, text=Text 3, info=http://www.example.com",Record index 7 is out of range
2021-06-08 22:47:23.513,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,2843,"[4] recordIndex=8, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com",Record index 8 is out of range
2021-06-08 22:47:26.673,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,2844,"[5] recordIndex=9, author=ATH-05, text=Text 5, info=null",Record index 9 is out of range
2021-06-08 22:47:28.85,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1890,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-06-08 22:47:31.019,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1900,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-06-08 22:47:33.247,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1930,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-06-08 22:47:35.34,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1809,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-06-08 22:47:37.745,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2138,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-06-08 22:47:39.914,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1884,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-06-08 22:47:42.073,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1891,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
