timestamp,test-class,test-method,time,description,result
2021-06-09 09:49:55.656,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,6065,"[1] recordIndex=5, author=ATH-01, text=Text 1, info=http://www.example.com, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1.00, flag=true",OK
2021-06-09 09:50:00.996,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5046,"[2] recordIndex=6, author=ATH-02, text=Text 2, info=http://www.example.com, xxxCreationDate=aab-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 150.00, flag=true",OK
2021-06-09 09:50:05.99,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4728,"[3] recordIndex=7, author=ATH-03, text=Text 3, info=null, xxxCreationDate=aaC-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=BTC 13.00, flag=false",OK
2021-06-09 09:50:13.131,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,6873,"[4] recordIndex=8, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com, xxxCreationDate=aVa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 13.00, flag=true",OK
2021-06-09 09:50:15.223,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1817,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-06-09 09:50:17.322,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1814,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-06-09 09:50:19.461,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1870,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-06-09 09:50:21.562,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1835,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-06-09 09:50:23.947,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2113,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-06-09 09:50:26.727,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2513,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-06-09 09:50:28.878,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1853,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
2021-06-09 09:50:31.073,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1839,"[8] recordIndex=7, author=ATH-06, text=texto, info=null",OK
2021-06-09 09:50:33.248,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1814,"[9] recordIndex=8, author=ATH-07, text=texto, info=null",OK
2021-06-09 09:50:35.423,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1842,"[10] recordIndex=9, author=ATH-08, text=texto, info=null",OK
2021-06-09 09:50:37.513,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1823,"[11] recordIndex=10, author=ATH-08, text=texto, info=null",OK
